term,place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url,lat,lng
"CESAS – EJA Asa Sul SGAS II SGAS 602 – Asa Sul, Brasília – DF – 70200-720",ChIJ9Z4a7Ns6WpMRDijURw80obQ,Escola Classe 410 Sul,True,CLOSED_TEMPORARILY,ChIJ9Z4a7Ns6WpMRDijURw80obQ,"school,point_of_interest,establishment","SHCS - Brasília, DF, 70232-120, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJ9Z4a7Ns6WpMRDijURw80obQ,-15.8055158,-47.88819429999999
"Centro de Ensino Fundamental 09 ",ChIJA-CxsFxBWpMRM9o2BJSSI3k,Centro de Ensino Fundamental 09,False,OPERATIONAL,ChIJA-CxsFxBWpMRM9o2BJSSI3k,"school,point_of_interest,establishment","AR 9 - Sobradinho, Brasília - DF, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJA-CxsFxBWpMRM9o2BJSSI3k,-15.642468,-47.8209302
"Centro Educacional Estância III Mod.1 Rua 1A nº 16, Estância Mestre D’Armas 4 – Planaltina, Brasília/DF – CEP: 73380-300",ChIJa-Guu1VrWpMR5AsxoGYunFw,CED Condomínio Estância III,False,OPERATIONAL,ChIJa-Guu1VrWpMR5AsxoGYunFw,"school,secondary_school,point_of_interest,establishment","Mod.1 Rua 1A Nº 16, Estância Mestre D'Armas 4 - Planaltina, Brasília - DF, 73380-300, Brasil",3.6,10,https://www.google.com/maps/place/?q=place_id:ChIJa-Guu1VrWpMR5AsxoGYunFw,-15.6174538,-47.68676199999999
"CIL do Riacho Fundo II QR 2 – Candangolândia, Brasília – DF – 71725-200",ChIJA0ha1_ctWpMRCSuV9RQVRtY,Cil do Riacho Fundo II,True,CLOSED_TEMPORARILY,ChIJA0ha1_ctWpMRCSuV9RQVRtY,"school,point_of_interest,establishment","Riacho Fundo II - 1A Etapa QN 14D AE LT A - Núcleo Bandeirante, Brasília - DF, 71881-140, Brasil",5,1,https://www.google.com/maps/place/?q=place_id:ChIJA0ha1_ctWpMRCSuV9RQVRtY,-15.8965907,-48.0497789
"Escola Classe 431 Qs 431 Ae 01 Setor Norte, Setor Norte – Samambaia Sul, Brasília – DF – 72329-550",ChIJa5BE6RXSW5MRyqY9H5Wmnq0,EC 431 de Samambaia,True,CLOSED_TEMPORARILY,ChIJa5BE6RXSW5MRyqY9H5Wmnq0,"school,secondary_school,point_of_interest,establishment","Qs 431 Ae 01 Setor Norte, Setor Norte - Samambaia Sul, Brasília - DF, 72329-550, Brasil",3.6,8,https://www.google.com/maps/place/?q=place_id:ChIJa5BE6RXSW5MRyqY9H5Wmnq0,-15.8953941,-48.14372239999999
"Centro de Ensino Fundamental Gan SGAN 603 – Asa Norte, Brasília – DF – 70297-400",ChIJA61fZ6g7WpMR5vl7h7sxMog,Centro De Ensino Fundamental Gan,True,CLOSED_TEMPORARILY,ChIJA61fZ6g7WpMR5vl7h7sxMog,"school,primary_school,point_of_interest,establishment","SGAN 603 - Asa Norte, Brasília - DF, 70297-400, Brasil",4.6,27,https://www.google.com/maps/place/?q=place_id:ChIJA61fZ6g7WpMR5vl7h7sxMog,-15.776306,-47.873476
"Jardim de Infância VI Comar SHIS QI 03 AE AERONAUTICA, Aeb 20 – Lago Sul, DF – 71603-000",ChIJA8M0P3ElWpMROJZlsWsSFAw,Jardim de Infância - VI Comar,True,CLOSED_TEMPORARILY,ChIJA8M0P3ElWpMROJZlsWsSFAw,"school,point_of_interest,establishment","SHIS QI 03 AE AERONAUTICA, Aeb 20 - Lago Sul, DF, 71603-000, Brasil",4.4,8,https://www.google.com/maps/place/?q=place_id:ChIJA8M0P3ElWpMROJZlsWsSFAw,-15.8558776,-47.9082696
"Escola Classe 38 EQNP 15/19 Área Especial, Ceilândia, Brasília/DF – CEP: 72241-560",ChIJA8zxf3HMW5MRNTiHs9X9mXA,Escola Classe 38 de Ceilândia,False,OPERATIONAL,ChIJA8zxf3HMW5MRNTiHs9X9mXA,"school,point_of_interest,establishment","Setor P Norte, EQNP 19/15 - Ceilândia, Brasília - DF, 72241-560, Brasil",4.3,6,https://www.google.com/maps/place/?q=place_id:ChIJA8zxf3HMW5MRNTiHs9X9mXA,-15.8084863,-48.1329734
"CIEF SGAS I SGAS 907 – Asa Sul, Brasília – DF – 70390-070",ChIJaawyht07WpMRH9H72CX76d0,Curso JK,True,CLOSED_TEMPORARILY,ChIJaawyht07WpMRH9H72CX76d0,"school,point_of_interest,establishment","Lote F, SHCS - Asa Sul, Brasília - DF, 70390-078, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJaawyht07WpMRH9H72CX76d0,-15.8085873,-47.9071636
"Escola Classe 02 EQNM 19/21 Área Especial, Ceilândia Sul, Brasília/DF – CEP: 72215-220",ChIJAb12zujMW5MRyA5zgfqkKf8,CEF 02 de Ceilândia,True,CLOSED_TEMPORARILY,ChIJAb12zujMW5MRyA5zgfqkKf8,"secondary_school,school,point_of_interest,establishment","Área Especial, St. M Eqnm 1/3 Conjunto G, Brasília - DF, 72215-520, Brasil",3.8,5,https://www.google.com/maps/place/?q=place_id:ChIJAb12zujMW5MRyA5zgfqkKf8,-15.8212635,-48.1048406
"CEF 02 de Araporanga Q 3G, Mansões Arapoanga – Planaltina, Brasília – DF – 73370-100",ChIJad9bKe4SWpMRe0C7zirxdaE,Ec 02 Do Arapoanga,False,OPERATIONAL,ChIJad9bKe4SWpMRe0C7zirxdaE,"school,point_of_interest,establishment","Sh Arapoanga/Condomínio Mansões Arapoanga Q 3G, Mansões Arapoanga - Planaltina, Brasília - DF, 73370-100, Brasil",3.4,19,https://www.google.com/maps/place/?q=place_id:ChIJad9bKe4SWpMRe0C7zirxdaE,-15.6359516,-47.6325982
"Escola Classe 01 Q 06 Rua 05 Ae1 Sobradinho, DF – 73025-660",ChIJaf9_GIE_WpMRGXvxSk4OG9k,Escola Classe 01 De Sobradinho,True,CLOSED_TEMPORARILY,ChIJaf9_GIE_WpMRGXvxSk4OG9k,"school,point_of_interest,establishment","Q 06 Rua 05 Ae1 Sobradinho, DF, 73025-660, Brasil",3.3,9,https://www.google.com/maps/place/?q=place_id:ChIJaf9_GIE_WpMRGXvxSk4OG9k,-15.6496706,-47.799072
"CAIC Julia Kubitschek de Oliveira Qr 13 Cj 03 Ae 01, Sobradinho II – Sobradinho, DF – 73062-303",ChIJAQAA0KJAWpMRXJ6OzSKfS8Q,Caic Júlia Kubitschek De Oliveira,True,CLOSED_TEMPORARILY,ChIJAQAA0KJAWpMRXJ6OzSKfS8Q,"school,point_of_interest,establishment","Qr 13 Cj 03 Ae 01, Sobradinho II - Sobradinho, DF, 73062-303, Brasil",3.8,13,https://www.google.com/maps/place/?q=place_id:ChIJAQAA0KJAWpMRXJ6OzSKfS8Q,-15.6431643,-47.8232998
"Centro Educacional 04 Qe 09, Ae D – Guará, Brasília – DF – 70297-400",ChIJAQAAcMcxWpMRQXnZ-7P0ReQ,Centro Educacional 04 Do Guará,False,OPERATIONAL,ChIJAQAAcMcxWpMRQXnZ-7P0ReQ,"school,secondary_school,point_of_interest,establishment","Qe 09, Ae D - Guará, Brasília - DF, 70297-400, Brasil",4.3,24,https://www.google.com/maps/place/?q=place_id:ChIJAQAAcMcxWpMRQXnZ-7P0ReQ,-15.821138,-47.974978
"Centro de Ensino Fundamental 115 Q 115 Núcleo Rural Monjolo Conj. 7C – Recanto das Emas, Brasília – DF – 72603-314",ChIJAQAAeBfTW5MRB8TYfsacRvo,CEF 113 do Recanto das Emas,False,OPERATIONAL,ChIJAQAAeBfTW5MRB8TYfsacRvo,"school,primary_school,point_of_interest,establishment","QUADRA 113 ÁREA ESPECIAL - Recanto das Emas, Brasília - DF, 72603-109, Brasil",3.9,7,https://www.google.com/maps/place/?q=place_id:ChIJAQAAeBfTW5MRB8TYfsacRvo,-15.925305,-48.106173
"CAIC Helena Reis Qr 409 Ae Setor Norte, Setor Norte – Samambaia Sul, Brasília – DF – 72321-100",ChIJAQAAEJzSW5MRYEiSa4lg0Bk,CAIC Helena Reis,False,OPERATIONAL,ChIJAQAAEJzSW5MRYEiSa4lg0Bk,"school,primary_school,point_of_interest,establishment","Qr 409 Ae Setor Norte, Setor Norte - Samambaia Sul, Brasília - DF, 72321-100, Brasil",4.3,16,https://www.google.com/maps/place/?q=place_id:ChIJAQAAEJzSW5MRYEiSa4lg0Bk,-15.8770285,-48.1056549
"CEF 01 da Candangolândia QR 2 – Candangolândia, Brasília – DF – 71725-200",ChIJAQAAoMgvWpMRMSKbGcK4AbA,Escola Classe 01 da Candangolândia (EC 01),True,CLOSED_TEMPORARILY,ChIJAQAAoMgvWpMRMSKbGcK4AbA,"school,point_of_interest,establishment","EQR 05/07 AE - Candangolândia, Brasília - DF, 71725-500, Brasil",3,4,https://www.google.com/maps/place/?q=place_id:ChIJAQAAoMgvWpMRMSKbGcK4AbA,-15.8479992,-47.9516213
"Centro de Educação Infantil 08 St. D Norte QND Condomínio – Taguatinga, Brasília – DF –72120-055",ChIJAQAAWN0yWpMRn3YTiWfkghY,Educação Infantil - CEI Pipoquinha,False,OPERATIONAL,ChIJAQAAWN0yWpMRn3YTiWfkghY,"primary_school,school,point_of_interest,establishment","Taguatinga Norte QNB 13 - Taguatinga, Brasília - DF, 72115-130, Brasil",5,5,https://www.google.com/maps/place/?q=place_id:ChIJAQAAWN0yWpMRn3YTiWfkghY,-15.8221037,-48.0627161
"Centro de Ensino Fundamental 405 Sul SHCS SQS 405 – Brasília, DF – 70297-400",ChIJAQBw_tE6WpMRPmqCF0Nqrgk,Centro de Ensino e Tecnol em Ciência,True,CLOSED_TEMPORARILY,ChIJAQBw_tE6WpMRPmqCF0Nqrgk,"school,point_of_interest,establishment","SHCS SQS 405 BL S - Brasília, DF, 70239-000, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJAQBw_tE6WpMRPmqCF0Nqrgk,-15.8146845,-47.8920318
"Centro de Ensino Fundamental 405 Sul SHCS SQS 405 – Brasília, DF – 70297-400",ChIJAQBw_tE6WpMRTjZT6XjKL04,Associação para O Ensino Médio Fácil Bs,True,CLOSED_TEMPORARILY,ChIJAQBw_tE6WpMRTjZT6XjKL04,"school,point_of_interest,establishment","SHCS SQS 405 BL S - Brasília, DF, 70711-000, Brasil",0,0,https://www.google.com/maps/place/?q=place_id:ChIJAQBw_tE6WpMRTjZT6XjKL04,-15.8146845,-47.8920318
"EC 02 da Candangolândia EQR 02/03 AE – Candangolandia, Brasília – DF – 71725-250",ChIJAQCAn7gvWpMR4cj8SINOByI,Escola Classe 02 da Candangolândia (EC 02),True,CLOSED_TEMPORARILY,ChIJAQCAn7gvWpMR4cj8SINOByI,"school,point_of_interest,establishment","EQR 02/03 AE - Candangolandia, Brasília - DF, 71725-250, Brasil",3,5,https://www.google.com/maps/place/?q=place_id:ChIJAQCAn7gvWpMR4cj8SINOByI,-15.8522287,-47.9515101
"CEF 01 da Candangolândia QR 2 – Candangolândia, Brasília – DF – 71725-200",ChIJAQCAn7gvWpMRkGIU-Q1FLig,CEF 01 da Candangolândia,True,CLOSED_TEMPORARILY,ChIJAQCAn7gvWpMRkGIU-Q1FLig,"primary_school,school,point_of_interest,establishment","QR 2 - Candangolândia, Brasília - DF, 71725-200, Brasil",3.7,17,https://www.google.com/maps/place/?q=place_id:ChIJAQCAn7gvWpMRkGIU-Q1FLig,-15.8499062,-47.9500015
"Centro de Ensino Fundamental 10 St. E Sul QSE 7 – Taguatinga, Brasília/DF – 72025-110",ChIJAR_p_4EtWpMRcHdQbmFvg0I,Colégio Presbiteriano Simonton,True,CLOSED_TEMPORARILY,ChIJAR_p_4EtWpMRcHdQbmFvg0I,"school,point_of_interest,establishment","Área Especial nº 3 - Setor E, St. e Sul Qse 9 Qse 7 - Taguatinga Sul, Brasília - DF, 72025-160, Brasil",4.9,15,https://www.google.com/maps/place/?q=place_id:ChIJAR_p_4EtWpMRcHdQbmFvg0I,-15.8595433,-48.0405601
"Escola Classe Ribeirão Df 250 Oeste – Km 11 Fazenda Ribeirão – Sobradinho, DF, 73000-000",ChIJATVpIGZFWpMRwhFNWGd-hGU,Escola Classe Ribeirão,True,CLOSED_TEMPORARILY,ChIJATVpIGZFWpMRwhFNWGd-hGU,"school,point_of_interest,establishment","Df 250 Oeste - Km 11 Fazenda Ribeirão - Sobradinho, DF, 73000-000, Brasil",5,2,https://www.google.com/maps/place/?q=place_id:ChIJATVpIGZFWpMRwhFNWGd-hGU,-15.5060355,-47.9665271
