place_id,name,permanently_closed,business_status,reference,found_types,formatted_address,rating,user_ratings_total,google_url
ChIJwTDFx4DLW5MRInwOnCuTLT8,Caixa Escolar da Escola Classe 30 de Ceilandia,True,CLOSED_TEMPORARILY,ChIJwTDFx4DLW5MRInwOnCuTLT8,"school,point_of_interest,establishment","St. O EQNO 1/3 - Ceilândia, Brasília - DF, 72250-502",0,0,https://www.google.com/maps/place/?q=place_id:ChIJwTDFx4DLW5MRInwOnCuTLT8
ChIJWXmkcecyWpMRy0qnD-QSqp8,Associação de Pais e Mestres da Escola Classe 06,True,CLOSED_TEMPORARILY,ChIJWXmkcecyWpMRy0qnD-QSqp8,"school,point_of_interest,establishment","St. B Norte CNB 4 - Taguatinga, Brasília - DF, 70297-400",0,0,https://www.google.com/maps/place/?q=place_id:ChIJWXmkcecyWpMRy0qnD-QSqp8
ChIJWXw0BYMyWpMRIqHNuHgRQTU,Escola Classe 54 De Taguatinga,False,OPERATIONAL,ChIJWXw0BYMyWpMRIqHNuHgRQTU,"school,point_of_interest,establishment","Qsd 32 Ae 01/02, Taguatinga Sul - Taguatinga, Brasília - DF, 72020-320",4.1,17,https://www.google.com/maps/place/?q=place_id:ChIJWXw0BYMyWpMRIqHNuHgRQTU
ChIJWxwaAWHMW5MRQB2nWuhyZNw,Escola Incluir,True,CLOSED_TEMPORARILY,ChIJWxwaAWHMW5MRQB2nWuhyZNw,"school,point_of_interest,establishment","St. N QNN 21 - Ceilândia, Brasília - DF, 72225-225",4.3,3,https://www.google.com/maps/place/?q=place_id:ChIJWxwaAWHMW5MRQB2nWuhyZNw
ChIJY5Z6WEDNW5MRSd0LFWhZdd8,Escola Classe 15 De Ceilândia,False,OPERATIONAL,ChIJY5Z6WEDNW5MRSd0LFWhZdd8,"school,point_of_interest,establishment","St. N EQNN 8/10 - Ceilândia, Brasília - DF, 72220-540",4.5,4,https://www.google.com/maps/place/?q=place_id:ChIJY5Z6WEDNW5MRSd0LFWhZdd8
ChIJy7jzuWgyWpMR7Jc8SgeFFJc,Colégio Visão Águas Claras,False,OPERATIONAL,ChIJy7jzuWgyWpMR7Jc8SgeFFJc,"school,point_of_interest,establishment","R. 25 Norte, s/n - Águas Claras, Brasília - DF, 70297-400",3.9,18,https://www.google.com/maps/place/?q=place_id:ChIJy7jzuWgyWpMR7Jc8SgeFFJc
ChIJZTGjV20yWpMRzMX_OPw5SQU,WIZARD AGUAS CLARAS I,False,OPERATIONAL,ChIJZTGjV20yWpMRzMX_OPw5SQU,"school,point_of_interest,establishment","Avenida das Araucárias, 34 - LOTE 305 0809 33 - Águas Claras, Brasília - DF, 71936-250",0,0,https://www.google.com/maps/place/?q=place_id:ChIJZTGjV20yWpMRzMX_OPw5SQU
ChIJzWjsH_YyWpMR-XCrrh2PZoY,Escola Municipal Professora Nazaré A. Duarte,True,CLOSED_TEMPORARILY,ChIJzWjsH_YyWpMR-XCrrh2PZoY,"school,point_of_interest,establishment",Rua Tabelião Antonio Teófilo de Carvalho - 112 - COHAB,0,0,https://www.google.com/maps/place/?q=place_id:ChIJzWjsH_YyWpMR-XCrrh2PZoY
ChIJzwqGu9wtWpMRLOuYb6aB-pI,Escola Técnica De Brasília,True,CLOSED_TEMPORARILY,ChIJzwqGu9wtWpMRLOuYb6aB-pI,"school,point_of_interest,establishment","Qs 07 Lt 2/8 Vila Areal - Águas Claras, DF, 72030-170",4,1,https://www.google.com/maps/place/?q=place_id:ChIJzwqGu9wtWpMRLOuYb6aB-pI
ChIJzyiK-UEtWpMRvkPsRKUCxj4,Escola Ravelo,False,OPERATIONAL,ChIJzyiK-UEtWpMRvkPsRKUCxj4,"secondary_school,school,point_of_interest,establishment","QR 320 Cj. 09 Lote 18/21/22 - Samambaia Sul, Brasília - DF, 72310-109",3.6,22,https://www.google.com/maps/place/?q=place_id:ChIJzyiK-UEtWpMRvkPsRKUCxj4
